releaseDate,FIPS,county,state,NONE,D0,D1,D2,D3,D4,validStart,validEnd,domStatisticFormatID
5/12/15,6001,Alameda County,CA,0,100,100,100,100,18.96,5/12/15,5/18/15,1
5/19/15,6001,Alameda County,CA,0,100,100,100,100,18.96,5/19/15,5/25/15,1
5/26/15,6001,Alameda County,CA,0,100,100,100,100,18.96,5/26/15,6/1/15,1
6/2/15,6001,Alameda County,CA,0,100,100,100,100,18.96,6/2/15,6/8/15,1
6/9/15,6001,Alameda County,CA,0,100,100,100,100,18.96,6/9/15,6/15/15,1
6/16/15,6001,Alameda County,CA,0,100,100,100,100,18.96,6/16/15,6/22/15,1
6/23/15,6001,Alameda County,CA,0,100,100,100,100,18.96,6/23/15,6/29/15,1
6/30/15,6001,Alameda County,CA,0,100,100,100,100,18.96,6/30/15,7/6/15,1
7/7/15,6001,Alameda County,CA,0,100,100,100,100,18.96,7/7/15,7/13/15,1
7/14/15,6001,Alameda County,CA,0,100,100,100,100,18.96,7/14/15,7/20/15,1
7/21/15,6001,Alameda County,CA,0,100,100,100,100,18.96,7/21/15,7/27/15,1
7/28/15,6001,Alameda County,CA,0,100,100,100,100,18.96,7/28/15,8/3/15,1
8/4/15,6001,Alameda County,CA,0,100,100,100,100,18.96,8/4/15,8/10/15,1
8/11/15,6001,Alameda County,CA,0,100,100,100,100,18.96,8/11/15,8/17/15,1
8/18/15,6001,Alameda County,CA,0,100,100,100,100,18.96,8/18/15,8/24/15,1
8/25/15,6001,Alameda County,CA,0,100,100,100,100,18.96,8/25/15,8/31/15,1
9/1/15,6001,Alameda County,CA,0,100,100,100,100,18.96,9/1/15,9/7/15,1
9/8/15,6001,Alameda County,CA,0,100,100,100,100,18.96,9/8/15,9/14/15,1
9/15/15,6001,Alameda County,CA,0,100,100,100,100,18.96,9/15/15,9/21/15,1
9/22/15,6001,Alameda County,CA,0,100,100,100,100,18.96,9/22/15,9/28/15,1
9/29/15,6001,Alameda County,CA,0,100,100,100,100,18.96,9/29/15,10/5/15,1
10/6/15,6001,Alameda County,CA,0,100,100,100,100,18.96,10/6/15,10/12/15,1
10/13/15,6001,Alameda County,CA,0,100,100,100,100,18.96,10/13/15,10/19/15,1
10/20/15,6001,Alameda County,CA,0,100,100,100,100,18.96,10/20/15,10/26/15,1
10/27/15,6001,Alameda County,CA,0,100,100,100,100,18.96,10/27/15,11/2/15,1
11/3/15,6001,Alameda County,CA,0,100,100,100,100,18.96,11/3/15,11/9/15,1
11/10/15,6001,Alameda County,CA,0,100,100,100,100,18.96,11/10/15,11/16/15,1
11/17/15,6001,Alameda County,CA,0,100,100,100,100,18.96,11/17/15,11/23/15,1
11/24/15,6001,Alameda County,CA,0,100,100,100,100,18.96,11/24/15,11/30/15,1
12/1/15,6001,Alameda County,CA,0,100,100,100,100,18.96,12/1/15,12/7/15,1
12/8/15,6001,Alameda County,CA,0,100,100,100,100,18.96,12/8/15,12/14/15,1
12/15/15,6001,Alameda County,CA,0,100,100,100,100,18.96,12/15/15,12/21/15,1
12/22/15,6001,Alameda County,CA,0,100,100,100,100,18.96,12/22/15,12/28/15,1
12/29/15,6001,Alameda County,CA,0,100,100,100,100,18.96,12/29/15,1/4/16,1
1/5/16,6001,Alameda County,CA,0,100,100,100,100,18.96,1/5/16,1/11/16,1
1/12/16,6001,Alameda County,CA,0,100,100,100,100,18.96,1/12/16,1/18/16,1
1/19/16,6001,Alameda County,CA,0,100,100,100,100,18.96,1/19/16,1/25/16,1
1/26/16,6001,Alameda County,CA,0,100,100,100,99.93,18.96,1/26/16,2/1/16,1
2/2/16,6001,Alameda County,CA,0,100,100,100,98.46,20.82,2/2/16,2/8/16,1
2/9/16,6001,Alameda County,CA,0,100,100,100,98.46,20.82,2/9/16,2/15/16,1
2/16/16,6001,Alameda County,CA,0,100,100,100,98.46,20.82,2/16/16,2/22/16,1
2/23/16,6001,Alameda County,CA,0,100,100,100,98.46,20.82,2/23/16,2/29/16,1
3/1/16,6001,Alameda County,CA,0,100,100,100,98.46,20.82,3/1/16,3/7/16,1
3/8/16,6001,Alameda County,CA,0,100,100,100,98.46,20.82,3/8/16,3/14/16,1
3/15/16,6001,Alameda County,CA,0,100,100,82.42,44.83,20.82,3/15/16,3/21/16,1
3/22/16,6001,Alameda County,CA,0,100,100,82.42,44.83,20.82,3/22/16,3/28/16,1
3/29/16,6001,Alameda County,CA,0,100,100,82.42,44.83,20.82,3/29/16,4/4/16,1
4/5/16,6001,Alameda County,CA,0,100,100,82.42,44.83,16.37,4/5/16,4/11/16,1
4/12/16,6001,Alameda County,CA,0,100,100,82.42,44.83,16.37,4/12/16,4/18/16,1
1/4/11,6003,Alpine County,CA,100,0,0,0,0,0,1/4/11,1/10/11,1
1/11/11,6003,Alpine County,CA,100,0,0,0,0,0,1/11/11,1/17/11,1
1/18/11,6003,Alpine County,CA,100,0,0,0,0,0,1/18/11,1/24/11,1
1/25/11,6003,Alpine County,CA,100,0,0,0,0,0,1/25/11,1/31/11,1
2/1/11,6003,Alpine County,CA,100,0,0,0,0,0,2/1/11,2/7/11,1
2/8/11,6003,Alpine County,CA,100,0,0,0,0,0,2/8/11,2/14/11,1
2/15/11,6003,Alpine County,CA,100,0,0,0,0,0,2/15/11,2/21/11,1
2/22/11,6003,Alpine County,CA,100,0,0,0,0,0,2/22/11,2/28/11,1
3/1/11,6003,Alpine County,CA,100,0,0,0,0,0,3/1/11,3/7/11,1
3/8/11,6003,Alpine County,CA,100,0,0,0,0,0,3/8/11,3/14/11,1
3/15/11,6003,Alpine County,CA,100,0,0,0,0,0,3/15/11,3/21/11,1
3/22/11,6003,Alpine County,CA,100,0,0,0,0,0,3/22/11,3/28/11,1
3/29/11,6003,Alpine County,CA,100,0,0,0,0,0,3/29/11,4/4/11,1
4/5/11,6003,Alpine County,CA,100,0,0,0,0,0,4/5/11,4/11/11,1
4/12/11,6003,Alpine County,CA,100,0,0,0,0,0,4/12/11,4/18/11,1
4/19/11,6003,Alpine County,CA,100,0,0,0,0,0,4/19/11,4/25/11,1
4/26/11,6003,Alpine County,CA,100,0,0,0,0,0,4/26/11,5/2/11,1
5/3/11,6003,Alpine County,CA,100,0,0,0,0,0,5/3/11,5/9/11,1
5/10/11,6003,Alpine County,CA,100,0,0,0,0,0,5/10/11,5/16/11,1
5/17/11,6003,Alpine County,CA,100,0,0,0,0,0,5/17/11,5/23/11,1
5/24/11,6003,Alpine County,CA,100,0,0,0,0,0,5/24/11,5/30/11,1
5/31/11,6003,Alpine County,CA,100,0,0,0,0,0,5/31/11,6/6/11,1
6/7/11,6003,Alpine County,CA,100,0,0,0,0,0,6/7/11,6/13/11,1
6/14/11,6003,Alpine County,CA,100,0,0,0,0,0,6/14/11,6/20/11,1
6/21/11,6003,Alpine County,CA,100,0,0,0,0,0,6/21/11,6/27/11,1
6/28/11,6003,Alpine County,CA,100,0,0,0,0,0,6/28/11,7/4/11,1
7/5/11,6003,Alpine County,CA,100,0,0,0,0,0,7/5/11,7/11/11,1
7/12/11,6003,Alpine County,CA,100,0,0,0,0,0,7/12/11,7/18/11,1
7/19/11,6003,Alpine County,CA,100,0,0,0,0,0,7/19/11,7/25/11,1
